"time{s}","T1\plot{N.m}","T2\plot{N.m}","Theta1\plot{rad}","Theta2\plot{rad}","RR\Omega1{rad/s}","RR\Omega2{rad/s}","X1\plot{m}","Y1\plot{m}","X2\plot{m}","Y2\plot{m}","Xe\plot{m}","Ye\plot{m}","RR\I1\state{N.m.s}","RR\I2\state{N.m.s}","MCC_IP1\Ia{A}","MCC_IP2\Ia{A}","MCC_IP1\Km\p2.T{N.m}","MCC_IP2\Km\p2.T{N.m}"
0.23147535152461,7.57416540706973,0.361614867825064,0.499099093795686,7.83420420710532e-005,1.48155033238443,0.00934159437161192,0.0863087883043834,0.0470497934259986,0.251183671945389,0.124446822422992,0.488283671217791,0.124465397321148,0.179712055318231,0.000108362494710698,61.5711557319698,2.93984950247877,7.57325215503228,0.361601488804889
0.239900783888915,7.6128399887957,0.366598061097367,0.511307502133156,0.000153350213308994,1.41690855177611,0.00847263310237418,0.0857279676057197,0.0480999539520848,0.249647421678725,0.127226177310329,0.48674741889087,0.127262536645762,0.171871007330442,9.82825439875404e-005,61.8858945652205,2.98036949489986,7.61196503152212,0.366585447872683
0.248326216253221,7.6505491708314,0.371403036838447,0.522982908923124,0.000221260338454048,1.35501963143935,0.00765686956223188,0.0851605508925719,0.0490975617691313,0.2481466243842,0.12986636960814,0.48524661858045,0.129918830433959,0.164363881293593,8.88196869218899e-005,62.1927781367501,3.01944057173887,7.64971171082027,0.371391190323881
0.256751648617526,7.68687774534382,0.376013815125821,0.534148219719565,0.000282519243667758,1.29581006287436,0.00689363186397362,0.0846070645665866,0.0500453257100545,0.246682672405652,0.132374574315357,0.483782662943332,0.132441559627139,0.157181760626659,7.9966129622094e-005,62.4884291111533,3.0569327213586,7.68607678067186,0.376002724727108
0.265177080981831,7.72154676442357,0.380421174977868,0.544825670075738,0.000337564927941108,1.23919628518787,0.00618162539584821,0.0840678953461741,0.0509458435209853,0.245256588624115,0.13475767240818,0.482356575115333,0.134837709051075,0.150314509393289,7.17068545918392e-005,62.7705784609747,3.09277090180466,7.72078115069989,0.380410820921973
0.273602513346136,7.7543802175306,0.384621012913159,0.555036754718376,0.000386822015202555,1.18508832026843,0.00551912166506203,0.0835433093818433,0.051801597055782,0.243869077017945,0.137022238025589,0.480969059279158,0.137113953523106,0.143751213248561,6.40218113147196e-005,63.0377944451685,3.12692170393489,7.75364871675572,0.384611369583991
0.282027945710441,7.78528226079153,0.388613090637706,0.56480218897088,0.000430699019718585,1.13339219894034,0.00490409338813751,0.0830334688636308,0.0526149508074697,0.242520566589577,0.139174534522426,0.479620544598357,0.139276653256844,0.137480473731463,5.68874833023951e-005,63.2892973810657,3.15938315699909,7.78458357787108,0.388604128310888
0.290453378074747,7.81422013721902,0.392400229301895,0.574141888866304,0.000469586634621051,1.08401174635432,0.00433430062648924,0.0825384466791202,0.0533881524291488,0.241211250136091,0.14122051580799,0.47831122399444,0.141331854794967,0.13149062483278,5.02778872672752e-005,63.5248207461461,3.19017817382549,7.81355295177597,0.392391915380536
0.298878810439052,7.84120499075397,0.395987292803154,0.583074957497212,0.000503856135170579,1.03685053330196,0.00380740181061396,0.0820582397420143,0.0541233340662058,0.239941119503388,0.14316582983312,0.477041089406981,0.143285294117714,0.125769969689528,4.41658610031219e-005,63.7444551087589,3.21934628952454,7.84056797837735,0.395979593611518
0.307304242803357,7.86627966336553,0.39938059075778,0.591619687067299,0.000533858723504991,0.991813061605803,0.00332101375297772,0.0815927805002061,0.0548225151762047,0.238709996025131,0.145015826033701,0.475809962237772,0.145142403931032,0.120306924372784,3.85237595345416e-005,63.9485488641854,3.24693879701171,7.8656715102948,0.399373472032441
